DataZone,DataZoneName,IntZone,IntZoneName,CA,CAName,HSCP,HSCPName,HB,HBName,Country
S01007367,Dunoon - 02,S02001386,Dunoon,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007368,Dunoon - 03,S02001386,Dunoon,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007369,Dunoon - 04,S02001386,Dunoon,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007370,Dunoon - 05,S02001386,Dunoon,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007371,Dunoon - 06,S02001386,Dunoon,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007372,Dunoon - 07,S02001386,Dunoon,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007373,Garelochhead - 01,S02001387,Garelochhead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007374,Garelochhead - 02,S02001387,Garelochhead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007375,Garelochhead - 03,S02001387,Garelochhead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007376,Garelochhead - 04,S02001387,Garelochhead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007377,Garelochhead - 05,S02001387,Garelochhead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007378,Garelochhead - 06,S02001387,Garelochhead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007379,Garelochhead - 07,S02001387,Garelochhead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007380,Garelochhead - 08,S02001387,Garelochhead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007381,Helensburgh West and Rhu - 01,S02001388,Helensburgh West and Rhu,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007382,Helensburgh West and Rhu - 02,S02001388,Helensburgh West and Rhu,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007383,Helensburgh West and Rhu - 03,S02001388,Helensburgh West and Rhu,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007384,Helensburgh West and Rhu - 04,S02001388,Helensburgh West and Rhu,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007385,Helensburgh West and Rhu - 05,S02001388,Helensburgh West and Rhu,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007386,Helensburgh West and Rhu - 06,S02001388,Helensburgh West and Rhu,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007387,Helensburgh North - 01,S02001389,Helensburgh North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007388,Helensburgh North - 02,S02001389,Helensburgh North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007389,Helensburgh North - 03,S02001389,Helensburgh North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007390,Helensburgh North - 04,S02001389,Helensburgh North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007391,Helensburgh North - 05,S02001389,Helensburgh North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007392,Helensburgh North - 06,S02001389,Helensburgh North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007393,Helensburgh North - 07,S02001389,Helensburgh North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007394,Helensburgh Centre - 01,S02001390,Helensburgh Centre,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007395,Helensburgh Centre - 02,S02001390,Helensburgh Centre,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007396,Helensburgh Centre - 03,S02001390,Helensburgh Centre,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007397,Helensburgh Centre - 04,S02001390,Helensburgh Centre,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007398,Helensburgh East - 01,S02001391,Helensburgh East,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007399,Helensburgh East - 02,S02001391,Helensburgh East,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007400,Helensburgh East - 03,S02001391,Helensburgh East,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007401,Helensburgh East - 04,S02001391,Helensburgh East,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007402,Helensburgh East - 05,S02001391,Helensburgh East,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007403,Helensburgh East - 06,S02001391,Helensburgh East,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007404,Lomond Shore - 01,S02001392,Lomond Shore,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007405,Lomond Shore - 02,S02001392,Lomond Shore,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007406,Lomond Shore - 03,S02001392,Lomond Shore,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007407,Lomond Shore - 04,S02001392,Lomond Shore,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007408,Lomond Shore - 05,S02001392,Lomond Shore,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01010504,Lochaber West - 01,S02001978,Lochaber West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010505,Lochaber West - 02,S02001978,Lochaber West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010506,Lochaber West - 03,S02001978,Lochaber West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010507,Lochaber West - 04,S02001978,Lochaber West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010508,Lochaber West - 05,S02001978,Lochaber West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010509,Lochaber West - 06,S02001978,Lochaber West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010510,Fort William North - 01,S02001979,Fort William North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010511,Fort William North - 02,S02001979,Fort William North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010512,Fort William North - 03,S02001979,Fort William North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010513,Fort William North - 04,S02001979,Fort William North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010514,Fort William North - 05,S02001979,Fort William North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010515,Fort William North - 06,S02001979,Fort William North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
